##"NA: Not annotated as a TF by FlyTF (Adryan and Teichmann 2006)"
Flybase ID,gene symbol,DBD family,gene symbol synonym,FlyTF final call,FlyTF score
FBgn0028550,A3-3,bZIP,Atf3,yes,6
FBgn0259750,ab,zf-C2H2,,yes,6
FBgn0000014,abd-A,Homeobox,,yes,1
FBgn0000015,Abd-B,Homeobox,,yes,1
FBgn0000022,ac,HLH,,yes,2
FBgn0033749,achi,Homeobox,,yes,5
FBgn0000028,acj6,Homeobox|Pou,,yes,1
FBgn0037555,Ada2b,Myb_DNA-binding,,yes,6
FBgn0000054,Adf1,BESS|MADF,,yes,1
FBgn0005694,Aef1,zf-C2H2,,yes,1
FBgn0000061,al,Homeobox,,yes,5
FBgn0003270,amos,HLH,,yes,5
FBgn0260642,Antp,Homeobox,,yes,1
FBgn0000097,aop,Ets,,yes,2
FBgn0000099,ap,Homeobox,,yes,1
FBgn0023417,AP-2,TF_AP-2,,yes,1
FBgn0015903,apt,SANT,,yes,1
FBgn0015904,ara,Homeobox,,yes,1
FBgn0000137,ase,HLH,,yes,2
FBgn0005386,ash1,AT_hook,,NA,NA
FBgn0039946,ATbp,zf-C2H2,,yes,4
FBgn0050420,Atf-2,bZIP,,yes,3
FBgn0033010,Atf6,bZIP,,yes,6
FBgn0010433,ato,HLH,,yes,2
FBgn0013751,Awh,Homeobox,,yes,5
FBgn0025185,az2,zf-C2H2,,yes,6
FBgn0004870,bab1,HTH_psq,,yes,5
FBgn0025525,bab2,HTH_psq,,yes,5
FBgn0004862,bap,Homeobox,,yes,1
FBgn0042085,Bap170,ARID,,yes,6
FBgn0024251,bbx,HMG_box,,yes,6
FBgn0000166,bcd,Homeobox,,yes,6
FBgn0015602,BEAF-32,BESS|zf-BED,,yes,5
FBgn0013753,Bgb,CBF-beta,,NA,NA
FBgn0011758,B-H1,Homeobox,,yes,1
FBgn0004854,B-H2,Homeobox,,yes,1
FBgn0000179,bi,T-box,,yes,2
FBgn0039509,bigmax,HLH,,yes,5
FBgn0045759,bin,Fork_head,,yes,1
FBgn0035625,Blimp-1,zf-C2H2,,yes,1
FBgn0004893,bowl,zf-C2H2,,yes,6
FBgn0000210,br,zf-C2H2,,yes,1
FBgn0010300,brat,zf-B_box,,NA,NA
FBgn0024250,brk,BrkDBD,,yes,1
FBgn0013755,Bro,CBF-beta,,NA,NA
FBgn0004101,bs,SRF-TF,,yes,6
FBgn0000227,Bsg25A,BEN,,NA,NA
FBgn0000529,bsh,Homeobox,,yes,5
FBgn0012049,BtbVII,HTH_psq,,yes,6
FBgn0000233,btd,zf-C2H2,,yes,4
FBgn0025679,Bteb2,zf-C2H2,,yes,6
FBgn0014949,btn,Homeobox,,yes,5
FBgn0259176,bun,TSC22,,NA,NA
FBgn0011723,byn,T-box,,yes,1
FBgn0004863,C15,Homeobox,,yes,5
FBgn0000251,cad,Homeobox,,yes,1
FBgn0259234,Camta,CG-1|TIG,,yes,1
FBgn0004878,cas,AT_hook|zf-C2H2,,yes,2
FBgn0024249,cato,HLH,,yes,6
FBgn0015919,caup,Homeobox,,yes,1
FBgn0043364,cbt,zf-C2H2,,yes,6
FBgn0086697,Cenp-C,AT_hook,,NA,NA
FBgn0000286,Cf2,zf-C2H2,,yes,1
FBgn0000289,cg,zf-C2H2,,yes,6
FBgn0035702,CG10147,zf-C2H2,,yes,6
FBgn0033971,CG10209,BESS,,yes,6
FBgn0027514,CG1024,zf-C2H2,,yes,6
FBgn0037446,CG10267,zf-C2H2,Zif,yes,6
FBgn0035690,CG10274,zf-C2H2,,yes,6
FBgn0034643,CG10321,zf-C2H2,,yes,6
FBgn0032707,CG10348,zf-C2H2,,yes,6
FBgn0032814,CG10366,zf-C2H2,,yes,6
FBgn0032730,CG10431,THAP|zf-C2H2,,yes,6
FBgn0032815,CG10462,zf-C2H2,,yes,6
FBgn0034570,CG10543,zf-C2H2,,yes,6
FBgn0037051,CG10565,Myb_DNA-binding,,yes,6
FBgn0032817,CG10631,THAP|zf-C2H2,,yes,6
FBgn0036294,CG10654,zf-C2H2,,yes,6
FBgn0039329,CG10669,zf-C2H2,,yes,6
FBgn0034945,CG10904,MADF,,NA,NA
FBgn0032858,CG10949,AT_hook|MADF,,yes,6
FBgn0030010,CG10959,zf-C2H2,,yes,6
FBgn0037379,CG10979,zf-C2H2,,yes,6
FBgn0030532,CG11071,zf-C2H2,,yes,6
FBgn0030408,CG11085,Homeobox,,yes,5
FBgn0039932,CG11093,Ski_Sno,,NA,NA
FBgn0039937,CG11152,Fork_head,fd102C,yes,6
FBgn0037120,CG11247,zf-C2H2,,yes,6
FBgn0030058,CG11294,Homeobox,,yes,5
FBgn0040366,CG11398,zf-C2H2,,yes,6
FBgn0037031,CG11456,zf-C2H2,,yes,6
FBgn0039733,CG11504,MADF,,NA,NA
FBgn0036249,CG11560,zf-BED,,NA,NA
FBgn0031232,CG11617,Homeobox,,yes,5
FBgn0030316,CG11695,zf-C2H2,,yes,6
FBgn0030314,CG11696,AT_hook|zf-C2H2,,yes,6
FBgn0031391,CG11723,BESS,,yes,6
FBgn0037618,CG11762,zf-C2H2,,yes,6
FBgn0028647,CG11902,zf-C2H2,,yes,6
FBgn0034425,CG11906,zf-C2H2,,yes,6
FBgn0037645,CG11966,zf-C2H2,,yes,6
FBgn0027503,CG11970,NFRKB,,NA,NA
FBgn0035454,CG12029,zf-C2H2,dar1,yes,6
